,predicted_mean
2615,178.55449036767894
2616,178.55449036767894
2617,178.55449036767894
2618,178.55449036767894
2619,178.55449036767894
2620,178.55449036767894
2621,178.55449036767894
2622,178.55449036767894
2623,178.55449036767894
2624,178.55449036767894
2625,178.55449036767894
2626,178.55449036767894
2627,178.55449036767894
2628,178.55449036767894
2629,178.55449036767894
2630,178.55449036767894
2631,178.55449036767894
2632,178.55449036767894
2633,178.55449036767894
2634,178.55449036767894
2635,178.55449036767894
2636,178.55449036767894
2637,178.55449036767894
2638,178.55449036767894
2639,178.55449036767894
2640,178.55449036767894
2641,178.55449036767894
2642,178.55449036767894
2643,178.55449036767894
2644,178.55449036767894
2645,178.55449036767894
2646,178.55449036767894
2647,178.55449036767894
2648,178.55449036767894
2649,178.55449036767894
2650,178.55449036767894
2651,178.55449036767894
2652,178.55449036767894
2653,178.55449036767894
2654,178.55449036767894
2655,178.55449036767894
2656,178.55449036767894
2657,178.55449036767894
2658,178.55449036767894
2659,178.55449036767894
2660,178.55449036767894
2661,178.55449036767894
2662,178.55449036767894
2663,178.55449036767894
2664,178.55449036767894
2665,178.55449036767894
2666,178.55449036767894
2667,178.55449036767894
2668,178.55449036767894
2669,178.55449036767894
2670,178.55449036767894
2671,178.55449036767894
2672,178.55449036767894
2673,178.55449036767894
2674,178.55449036767894
2675,178.55449036767894
2676,178.55449036767894
2677,178.55449036767894
2678,178.55449036767894
2679,178.55449036767894
2680,178.55449036767894
2681,178.55449036767894
2682,178.55449036767894
2683,178.55449036767894
2684,178.55449036767894
2685,178.55449036767894
2686,178.55449036767894
2687,178.55449036767894
2688,178.55449036767894
2689,178.55449036767894
2690,178.55449036767894
2691,178.55449036767894
2692,178.55449036767894
2693,178.55449036767894
2694,178.55449036767894
2695,178.55449036767894
2696,178.55449036767894
2697,178.55449036767894
2698,178.55449036767894
2699,178.55449036767894
2700,178.55449036767894
2701,178.55449036767894
2702,178.55449036767894
2703,178.55449036767894
2704,178.55449036767894
2705,178.55449036767894
2706,178.55449036767894
2707,178.55449036767894
2708,178.55449036767894
2709,178.55449036767894
2710,178.55449036767894
2711,178.55449036767894
2712,178.55449036767894
2713,178.55449036767894
2714,178.55449036767894
2715,178.55449036767894
2716,178.55449036767894
2717,178.55449036767894
2718,178.55449036767894
2719,178.55449036767894
2720,178.55449036767894
2721,178.55449036767894
2722,178.55449036767894
2723,178.55449036767894
2724,178.55449036767894
2725,178.55449036767894
2726,178.55449036767894
2727,178.55449036767894
2728,178.55449036767894
2729,178.55449036767894
2730,178.55449036767894
2731,178.55449036767894
2732,178.55449036767894
2733,178.55449036767894
2734,178.55449036767894
2735,178.55449036767894
2736,178.55449036767894
2737,178.55449036767894
2738,178.55449036767894
2739,178.55449036767894
2740,178.55449036767894
2741,178.55449036767894
2742,178.55449036767894
2743,178.55449036767894
2744,178.55449036767894
2745,178.55449036767894
2746,178.55449036767894
2747,178.55449036767894
2748,178.55449036767894
2749,178.55449036767894
2750,178.55449036767894
2751,178.55449036767894
2752,178.55449036767894
2753,178.55449036767894
2754,178.55449036767894
2755,178.55449036767894
2756,178.55449036767894
2757,178.55449036767894
2758,178.55449036767894
2759,178.55449036767894
2760,178.55449036767894
2761,178.55449036767894
2762,178.55449036767894
2763,178.55449036767894
2764,178.55449036767894
2765,178.55449036767894
2766,178.55449036767894
2767,178.55449036767894
2768,178.55449036767894
2769,178.55449036767894
2770,178.55449036767894
2771,178.55449036767894
2772,178.55449036767894
2773,178.55449036767894
2774,178.55449036767894
2775,178.55449036767894
